title,image,description
جلیقه و دامن آنژیوگرافی,Angiography_vest_skirt.jpg,"لباس محافظ ضد اشعه ایکس مخصوص بخش‌های آنژیوگرافی و تصویربرداری پزشکی با تابش بالا. طراحی دو تکه (جلیقه و دامن) برای محافظت کامل بدن و آزادی حرکت بیشتر. ساخته‌شده از لایه‌های سربی استاندارد جهت کاهش نفوذ اشعه. دارای پوشش داخلی نرم برای استفاده طولانی‌مدت بدون خستگی. مناسب پزشکان، تکنسین‌ها و پرسنل اتاق عمل."
تابلو هشدار دایره‌ای اشعه ایکس,circlur_Xray_Alert.jpeg,"تابلوی هشدار دایره‌ای با طراحی واضح و رنگ‌بندی استاندارد جهت هشدار در مناطق دارای اشعه ایکس. ساخته‌شده از متریال مقاوم در برابر رطوبت و حرارت. قابلیت نصب روی دیوار یا درب ورودی. نوشته‌ها و علائم از فاصله دور به‌خوبی قابل مشاهده‌اند. مناسب برای رعایت الزامات ایمنی و قوانین بهداشتی."
ورق سربی براق با کیفیت بالا,High-quality_high-gloss_ultrasound_paper.jpeg,"ورق سربی براق با سطح صاف و مقاوم در برابر خراش و سایش. جلوگیری از نفوذ پرتوهای مضر در محیط‌های پزشکی و صنعتی. قابلیت برش و شکل‌دهی آسان. لایه براق برای تمیزکاری راحت و افزایش عمر محصول. مناسب برای پوشش دیوارها، میزهای کار و تجهیزات حساس."
محافظ کمری گناد (سایز بزرگ),Large_size_lumbar_gonad_protector.jpg,"محافظ گناد کمری سایز بزرگ جهت حفاظت کامل از ناحیه کمری و اندام‌های تناسلی در تصویربرداری. ساخته‌شده از مواد سربی استاندارد با روکش نرم و مقاوم. طراحی ارگونومیک برای راحتی استفاده طولانی‌مدت. کاهش میزان دریافت اشعه در اندام‌های حساس. مناسب برای رادیولوژی، سی‌تی‌اسکن و فلوروسکوپی."
دستکش سربی ضد اشعه,lead_gloves.jpg,"دستکش‌های سربی جهت محافظت کامل از دست‌ها در برابر اشعه ایکس و منابع پرتوزا. ساخته‌شده از لایه‌های سربی انعطاف‌پذیر بدون کاهش مهارت حرکتی. روکش مقاوم در برابر سایش و پارگی. مناسب تکنسین‌های رادیولوژی، دندانپزشکان و پرسنل پزشکی. قابلیت شست‌وشو و ضدعفونی آسان."
کلاه سربی محافظ سر,lead_hat.jpg,"کلاه سربی برای حفاظت از سر در برابر تابش مستقیم و غیرمستقیم اشعه. طراحی ارگونومیک و سبک با لایه داخلی نرم. توزیع وزن متعادل برای استفاده طولانی بدون خستگی. مناسب جراحان، تکنسین‌ها و اپراتورهای تصویربرداری."
پانچوی سربی,Lead_poncho_for_OPG_photo.jpg,"پانچوی سربی یک‌تکه برای پوشش کامل بدن در تصویربرداری‌های OPG و سایر روش‌ها. پوشش جلویی و پشتی کامل با لایه‌های سربی مقاوم. روکش ضدآب و قابل شست‌وشو. طراحی راحت و آزاد برای انواع سایزها. مناسب کلینیک‌های دندانپزشکی و مراکز رادیولوژی."
عینک سربی محافظ چشم,Lead_rimmed_glasses.jpg,"عینک محافظ با فریم مقاوم و لنزهای سربی جهت جلوگیری از نفوذ اشعه به چشم. طراحی سبک و ارگونومیک برای استفاده طولانی بدون ناراحتی. لنزهای شفاف با دید بدون اختلال. مناسب رادیولوژی، سی‌تی‌اسکن و آنژیوگرافی. قابلیت ضدعفونی و تمیزکاری آسان."
محافظ تیروئید کودکان,Pediatric_thyroid_gland.jpg,"محافظ سربی سبک و راحت مخصوص کودکان برای حفاظت کامل ناحیه گردن و تیروئید. ساخته‌شده از مواد استاندارد با روکش نرم و ضد حساسیت. کاهش خطر تابش اشعه به غده تیروئید. مناسب رادیولوژی، دندانپزشکی و اسکن‌های تخصصی."
تابلو هشدار اشعه ایکس,Xray_Alert.png,"تابلوی هشدار اشعه ایکس با طراحی استاندارد برای نصب در اتاق‌های تصویربرداری. ساخته‌شده از مواد مقاوم و بادوام. نوشته‌ها و نمادها با رنگ‌های واضح و ماندگار چاپ شده‌اند. کمک به افزایش آگاهی و رعایت دستورالعمل‌های ایمنی. مناسب بیمارستان‌ها و مراکز صنعتی."
